name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
Player,6,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,5.5,0,0,6,8,1,90,0,0,TRUE,,,,,,
Plane,-13,0,0,4,8,1,90,0,0,TRUE,,,,,,
Plane,-3.25,2.5,4,23.5,5,1,0,0,0,TRUE,,,,,,
Plane,-3.25,2.5,-4,23.5,5,1,180,0,0,TRUE,,,,,,
Plane,8.5,2.5,0,8,5,1,0,90,0,FALSE,,,,,,
Plane,-15,2.5,0,8,5,1,0,-90,0,FALSE,,,,,,
,,,,,,,,,,,,,,,,
Block,2.5,-2.01,0,8,4,0.01,0,90,0,TRUE,FALSE,,,,,
Block,-11,-2.01,0,8,4,0.01,0,-90,0,FALSE,FALSE,,,,,
Plane,-4.25,-2,4,13.5,4,1,0,0,0,FALSE,TRUE,,,,,
Plane,-4.25,-2,-4,13.5,4,1,180,0,0,FALSE,TRUE,,,,,
,-4.25,-4,0,13.5,8,1,90,0,0,FALSE,,,,,,
FallingArea,-4.25,-4,0,13.5,1,7.99,0,0,0,TRUE,,,,,,
,,,,,,,,,,,,,,,,
RouteFloor,1.5,-0.25,-3,2,0.5,2,0,0,0,Right,3,,,,,
,,,,,,,,,,,,,,,,
Block,-5,-1.5,3,1,5,2,0,0,0,,,,,,,
Block,-5,-1.5,-3,1,5,2,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,
Block,1.5,-2,1.5,2,4,1,0,0,0,FALSE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
Goal,-15,0,0,0.5,0.5,0.5,0,90,0,,,,,,,
