name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
Player,7.5,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,-2.5,0,0,25,8,1,90,0,0,TRUE,,,,,,
Plane,-2.5,2.5,4,25,5,1,0,0,0,TRUE,,,,,,
Plane,-2.5,2.5,-4,25,5,1,180,0,0,TRUE,,,,,,
Plane,10,2.5,0,8,5,1,0,90,0,FALSE,,,,,,
Plane,-15,2.5,0,8,5,1,0,-90,0,FALSE,,,,,,
,,,,,,,,,,,,,,,,
Enemy,3,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Right,SinCurve,3,1,0
Enemy,1,0.5,0,1,1,1,0,0,0,FALSE,FALSE,null,SinCurve,3,1,3.14
Enemy,-1,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Right,SinCurve,3,1,0
,,,,,,,,,,,,,,,,
Block,-5,0.5,-2.75,1,1,2.5,0,0,0,FALSE,FALSE,,,,,
Block,-5,0.5,2.75,1,1,2.5,0,0,0,TRUE,FALSE,,,,,
Block,-14,0.5,2.75,2,1,2.5,0,0,0,TRUE,FALSE,,,,,
Block,-14,0.5,-2.75,2,1,2.5,0,0,0,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,
Enemy,-9,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Right,CircularMove,3,60,0
Enemy,-9,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Left,CircularMove,3,60,90
Enemy,-9,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Right,CircularMove,3,60,180
Enemy,-9,0.5,0,1,1,1,0,0,0,FALSE,TRUE,Left,CircularMove,3,60,270
,,,,,,,,,,,,,,,,
Goal,-15,0,0,0.5,0.5,0.5,0,90,0,,,,,,,
