name,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ,RotX,RotY,RotZ,ProjFlg,ArtFlg,DefArt,Behavior,cycle,Speed,Offset
Player,7.5,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,0,0,0,20,8,1,90,0,0,TRUE,,,,,,
Plane,0,2.5,4,20,5,1,0,0,0,TRUE,,,,,,
Plane,0,2.5,-4,20,5,1,180,0,0,TRUE,,,,,,
Plane,10,2.5,0,8,5,1,0,90,0,FALSE,,,,,,
Plane,-10,2.5,0,8,5,1,0,-90,0,TRUE,,,,,,
,,,,,,,,,,,,,,,,
Block,2.5,0.5,2.75,1,1,2.5,0,0,0,TRUE,FALSE,,,,,
Block,2.5,0.5,-2.75,1,1,2.5,0,0,0,FALSE,FALSE,,,,,
Block,2.5,0.5,0,1,1,3,0,0,0,TRUE,TRUE,Right,,,,
,,,,,,,,,,,,,,,,
Block,-4,0.5,2.75,1,1,2.5,0,0,0,TRUE,FALSE,,,,,
Block,-4,0.5,-2.75,1,1,2.5,0,0,0,FALSE,FALSE,,,,,
Block,-4,0.5,0,1,1,3,0,0,0,TRUE,TRUE,Left,,,,
,,,,,,,,,,,,,,,,
Block,-8.5,0.5,2,3,1,4,0,0,0,TRUE,FALSE,,,,,
Block,-8.5,0.5,-1,3,1,2,0,0,0,FALSE,TRUE,Right,,,,
,,,,,,,,,,,,,,,,
Goal,-10,1,2,0.5,0.5,0.5,0,90,0,,,,,,,
