name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ, ProjFlg, ArtFlg, DefArt, Behavior, cycle, Speed, Offset
Player,5,0.75,0,0.75,1.5,0.75,0,0,0,,,,,,,
Plane,-2.5,0,0,22,8,1,-270,0,0,TRUE,FALSE,,,,,
Plane,-2.5,2.5,4,22,5,1,0,0,0,TRUE,FALSE,,,,,
Plane,-2.5,2.5,-4,22,5,1,-180,0,0,TRUE,FALSE,,,,,
Plane,8.5,2.5,0,8,5,1,0,90,0,FALSE,FALSE,,,,,
Plane,-13.5,2.5,0,8,5,1,0,270,0,FALSE,FALSE,,,,,
Block,2,0.5,2.5,1,1,3,0,0,0,TRUE,FALSE,None,,,,
Block,-1,0.5,2.5,1,1,3,0,0,0,FALSE,FALSE,None,,,,
Battery,0.5,0.5,3.75,1,1,1,0,-180,0,0.5,,,,,,
Battery,0.5,0.5,-3.75,1,1,1,0,0,0,0.5,,,,,,
Block,2,0.5,-2.5,1,1,3,0,0,0,TRUE,FALSE,None,,,,
Block,-1,0.5,-2.5,1,1,3,0,0,0,FALSE,FALSE,None,,,,
Block,0.5,0.5,1.25,2,1,0.25,0,0,0,FALSE,TRUE,Left,,,,
Block,0.5,0.5,-1.25,2,1,0.25,0,0,0,FALSE,TRUE,Left,,,,
Block,-3.5,0.5,0.5,0.5,1,7,0,0,0,FALSE,FALSE,None,,,,
Block,-9.25,0.5,-3.5,8.5,1,1,0,0,0,FALSE,FALSE,None,,,,
Block,-6.75,0.5,3,6,1,2,0,0,0,TRUE,FALSE,None,,,,
Block,-13,0.5,3,1,1,2,0,0,0,FALSE,FALSE,None,,,,
Battery,-13.25,0.5,-1.25,1,1,1,0,90,0,2,,,,,,
Battery,-13.25,0.5,0,1,1,1,0,90,0,2,,,,,,
Battery,-13.25,0.5,1.25,1,1,1,0,90,0,2,,,,,,
Battery,-13.25,0.5,-2.5,1,1,1,0,90,0,2,,,,,,
Block,-6,0.5,-2.25,1,1,1.5,0,0,0,FALSE,TRUE,Right,,,,
Block,-9,0.5,-2.25,0.25,1,1.5,0,0,0,FALSE,TRUE,Left,,,,
Block,-9.5,0.5,1.25,0.25,1,1.5,0,0,0,FALSE,TRUE,Left,,,,
Goal,-11.125,0,4,0.5,0.5,0.5,0,180,0,,,,,,,
